販売,ドラッグストア・化粧品販売・登録販売者,ドラッグストアや化粧品店での接客・販売のお仕事です。一般医薬品を取り扱う場合には、登録販売者の資格が必要です。
販売,書店・レンタル・CDショップ,書店、レンタルショップなどでの接客・販売のお仕事です。
販売,ホームセンター・カー用品店,ホームセンターやカー用品店での接客・販売のお仕事です。
販売,アクセサリー・ジュエリー,アクセサリーやジュエリーショップでの接客・販売のお仕事です。
販売,フラワーショップ,フラワーショップでの接客・販売のお仕事です。
販売,ペットショップ,ペットショップでの接客・販売のお仕事です。
販売,店長・マネージャー（販売）,店舗の店長、マネージャー業務を行うお仕事です。
販売,販売その他,上記以外の販売のお仕事です。
飲食・フード,ファミレス・レストラン,ファミレス・レストランでのホール・キッチンのお仕事です。
飲食・フード,ファーストフード,ファーストフード店でのフロント・キッチンのお仕事です。
飲食・フード,居酒屋・ダイニングバー,居酒屋、ダイニングバーでのホール・キッチンのお仕事です。
飲食・フード,カフェ・喫茶店,カフェ・喫茶店でのホール・キッチンのお仕事です。
飲食・フード,ラーメン・うどん･そば,ラーメン屋、うどん屋、そば屋でのホール・キッチンのお仕事です。
飲食・フード,焼肉店・しゃぶしゃぶ店,焼肉店、しゃぶしゃぶ店でのホール・キッチンのお仕事です。
飲食・フード,寿司・和食・定食,寿司、回転寿司、和食、定食屋でのホール・キッチンのお仕事です。
飲食・フード,フードコート,フードコートでの接客・キッチンのお仕事です。
飲食・フード,パン屋・ケーキ屋・スイーツ店,パン屋・ケーキ屋での接客・キッチンのお仕事です。
飲食・フード,宅配・デリバリー,定番のピザやお寿司など、お料理のデリバリーのお仕事です。
飲食・フード,お弁当・テイクアウトフード,お弁当、テイクアウトフード店での接客・キッチンのお仕事です。
飲食・フード,調理師・調理補助,料亭やレストラン、旅館、ホテルでの調理、調理補助のお仕事です。
飲食・フード,ホールスタッフ,飲食店全般でのホールのお仕事です。
飲食・フード,キッチンスタッフ,飲食店全般でのキッチンのお仕事です。
飲食・フード,ホール＋キッチン,飲食店全般でのホール・キッチンのお仕事です。
飲食・フード,洗い場・食器洗浄,飲食店全般、旅館やホテルでの食器洗いのお仕事です。
飲食・フード,試飲・試食,主にスーパーやデパート、イベント会場において、試飲・試食を勧めるお仕事です。
飲食・フード,店長・マネージャー（飲食・フード）,飲食・フードの店長またはマネージャー業務を行うお仕事です。
飲食・フード,飲食・フードその他,その他の飲食・フードのお仕事です。
サービス・警備・清掃,ショールーム・不動産,ショールーム、不動産屋での接客のお仕事です。
サービス・警備・清掃,ガソリンスタンド,ガソリンスタンドでの接客のお仕事です。
サービス・警備・清掃,クリーニング店,クリーニング店での接客のお仕事です。
サービス・警備・清掃,レンタカー・ディーラー・中古車販売,レンタカー、ディーラー、中古車販売店での接客のお仕事です。
サービス・警備・清掃,旅行会社・ツアーコンダクター,旅行会社での接客やツアーコンダクターのお仕事です。
サービス・警備・清掃,葬儀・セレモニー,葬儀、セレモニー場でサービスを提供するお仕事です。
サービス・警備・清掃,結婚式場・ブライダル,結婚式場やブライダルでサービスを提供するお仕事です。
サービス・警備・清掃,新聞店,新聞販売店でのお仕事です。
サービス・警備・清掃,引越し,家具を梱包、搬出、搬入をする引越しのお仕事です。
サービス・警備・清掃,洗車・ピットサービス・タイヤ交換,カー用品店やガソリンスタンド、ディーラーなどで、洗車、ピットサービス、タイヤ交換をするお仕事です。
サービス・警備・清掃,警備員・監視員,警備員、監視員のお仕事です。
サービス・警備・清掃,交通誘導,交通誘導に関するお仕事です。
サービス・警備・清掃,清掃員・ルームメイク,公共施設やオフィス、工場などの清掃や、ホテルなどのルームメイクのお仕事です。
サービス・警備・清掃,ビル・ハウスクリーニング,ビルや個人宅をクリーニングするお仕事です。
サービス・警備・清掃,管理人,ビル、マンションなどの管理人のお仕事です。
サービス・警備・清掃,検針員,電気、ガス、水道などのメーターを確認する検針のお仕事です。
サービス・警備・清掃,サンプリング,店頭や街頭、イベント会場などで、試供品やチラシを配布するお仕事です。
サービス・警備・清掃,フロント・受付（サービス）,サービス業におけるフロントや受付でのお仕事です。
サービス・警備・清掃,店長・マネージャー（サービス・警備・清掃）,サービス・警備・清掃の店長、マネージャー業務を行うお仕事です。
サービス・警備・清掃,サービス・警備・清掃その他,上記以外のサービス・警備・清掃のお仕事です。
イベント・レジャー・娯楽,カラオケ,カラオケ店での受付、飲食物の提供などのお仕事です。
イベント・レジャー・娯楽,パチンコ,パチンコ店のホール、カウンター、ワゴンスタッフなどのお仕事です。
イベント・レジャー・娯楽,映画館・ゲームセンター・ボウリング場,アミューズメント施設に関わるお仕事です。
イベント・レジャー・娯楽,温泉・銭湯・スーパー銭湯,温浴施設、リラクゼーション施設でのお仕事です。
イベント・レジャー・娯楽,ゴルフ場,ゴルフ場での受付、コース管理、キャディなどのお仕事です。
イベント・レジャー・娯楽,ジム・プール,ジム・プールなどのトレーニング施設での受付、管理、トレーニングコーチのお仕事です。
イベント・レジャー・娯楽,ホテル・旅館・ペンション,宿泊施設での受付、浴室管理、清掃のお仕事です。
イベント・レジャー・娯楽,スキー場,レンタル、チケットショップ、売店、レストランなど、スキー場でのお仕事です。
イベント・レジャー・娯楽,イベント・キャンペーンスタッフ,様々なイベント、キャンペーンのお仕事です。
イベント・レジャー・娯楽,店長・マネージャー（イベント・レジャー・娯楽）,アミューズメント・レジャー・娯楽施設での店長・マネージャーのお仕事です。
イベント・レジャー・娯楽,イベント・レジャー・娯楽その他,上記以外のイベント・レジャー・娯楽のお仕事です。
教育・カルチャー・スポーツ,塾講師・家庭教師,塾講師、家庭教師のお仕事です。
教育・カルチャー・スポーツ,保育士・幼稚園教諭,保育士・幼稚園教諭のお仕事です。
教育・カルチャー・スポーツ,インストラクター・コーチ,趣味や習い事のインストラクターやトレーニングコーチなどのお仕事です。
教育・カルチャー・スポーツ,試験監督,資格試験、模擬試験などの試験監督のお仕事です。
教育・カルチャー・スポーツ,教育・カルチャー・スポーツその他,上記以外の教育・カルチャー・スポーツその他のお仕事です。
理・美容,理容師,理容師、理容師アシスタントのお仕事です。
理・美容,美容師,美容師、美容師アシスタントのお仕事です。
理・美容,ヘアメイク・メイクアップ・着付け・スタイリスト,ヘアメイク、メイクアップ、着付け、スタイリスト及び、アシスタントのお仕事です。
理・美容,エステ・ネイル,エステティシャン、ネイリスト及びアシスタントのお仕事です。
理・美容,リラクゼーション・セラピスト,ヨガやアロマテラピーなど専門技術で心身を癒やすお仕事です。
理・美容,フロント・受付（理・美容）,理・美容施設のフロント・受付のお仕事です。
理・美容,店長・マネージャー（理・美容）,理・美容施設の店長・マネージャーのお仕事です。
理・美容,アシスタント（理美容）,理・美容に関する業務のアシスタントのお仕事です。
理・美容,理・美容その他,上記以外の理・美容のお仕事です。
医療・介護・福祉,看護師,看護師のお仕事です。
医療・介護・福祉,准看護師,准看護師のお仕事です。
医療・介護・福祉,看護助手,診察の介助、器具洗浄、患者さんへの様々な補助などで看護師をサポートするお仕事です。
医療・介護・福祉,助産師,助産師のお仕事です。
医療・介護・福祉,保健師,自治体や企業、学校などの保健施設に常駐し、保健指導や健康診断を行うお仕事です。
医療・介護・福祉,医療事務・受付,医療機関での事務や経理などの業務を行うお仕事です。
医療・介護・福祉,医療技術者,診療放射線技師や理学療法士など、医療施設にて専門的な業務を行うお仕事です。
医療・介護・福祉,介護福祉士,介護福祉士の資格持っており、お年寄りや体の不自由な方の介護をするお仕事です。
医療・介護・福祉,ケアマネージャー,ケアプランの作成や介護サービスの調整、管理するお仕事です。
医療・介護・福祉,介護職員・ヘルパー,要介護者の様々なシーンにおいて介助を行うお仕事です。
医療・介護・福祉,介護事務,福祉施設や介護サービス事業所などでの事務作業や受付をするお仕事です。
医療・介護・福祉,歯科衛生士・歯科助手,歯科衛生士、歯科助士のお仕事です。
医療・介護・福祉,薬剤師,薬剤師、登録販売者のお仕事です。
医療・介護・福祉,整体師・柔道整復師,整体師、柔道整復師のお仕事です。
医療・介護・福祉,栄養士・管理栄養士,栄養士、管理栄養士のお仕事です。
医療・介護・福祉,施設内調理・調理補助,医療施設内での調理また調理補助を行うお仕事です。
医療・介護・福祉,作業療法士,要介護者の日常生活を送るための機能回復に努めるお仕事です。
医療・介護・福祉,理学療法士,要介護者の身体の基本的な機能回復に努めるお仕事です。
